individual,substrate,dS,dL,predator,species,locality,morph
CAY4,trunk,5.273474715,12.1636104,bird,pumilio,CAY,green
CAY6,trunk,4.619261111,12.6191596,bird,pumilio,CAY,green
CAY7,trunk,5.993689375,11.1782441,bird,pumilio,CAY,green
CAY8,trunk,2.97266877,11.6875935,bird,pumilio,CAY,green
CAY2,GreenLeaf,0.157071439,0.7711104,crab,pumilio,CAY,green
CAY3,GreenLeaf,1.143084761,4.6470543,crab,pumilio,CAY,green
CAY4,GreenLeaf,3.547522008,10.302708,crab,pumilio,CAY,green
CAY6,GreenLeaf,3.042313672,10.5526109,crab,pumilio,CAY,green
CAY7,GreenLeaf,4.15767763,10.0195497,crab,pumilio,CAY,green
CAY8,GreenLeaf,0.511717614,8.7812617,crab,pumilio,CAY,green
CAY2,LeafLitter,1.139147795,0.7266231,crab,pumilio,CAY,green
CAY3,LeafLitter,0.153134473,3.1493208,crab,pumilio,CAY,green
CAY4,LeafLitter,2.251302773,8.8049745,crab,pumilio,CAY,green
CAY6,LeafLitter,1.746094438,9.0548775,crab,pumilio,CAY,green
CAY7,LeafLitter,2.861458396,8.5218162,crab,pumilio,CAY,green
CAY8,LeafLitter,0.78450162,7.2835283,crab,pumilio,CAY,green
CAY2,trunk,0.980932789,1.8356235,crab,pumilio,CAY,green
CAY3,trunk,0.005080533,2.0403204,crab,pumilio,CAY,green
CAY4,trunk,2.409517779,7.695974,crab,pumilio,CAY,green
CAY6,trunk,1.904309443,7.945877,crab,pumilio,CAY,green
CAY7,trunk,3.019673402,7.4128158,crab,pumilio,CAY,green
CAY8,trunk,0.626286614,6.1745278,crab,pumilio,CAY,green
CAY2,GreenLeaf,0.750657279,0.8596861,lizard,pumilio,CAY,green
CAY3,GreenLeaf,0.842295768,4.0023202,lizard,pumilio,CAY,green
CAY4,GreenLeaf,3.216264702,8.5453349,lizard,pumilio,CAY,green
CAY6,GreenLeaf,2.697162859,8.9420378,lizard,pumilio,CAY,green
CAY7,GreenLeaf,4.034778785,8.0078741,lizard,pumilio,CAY,green
CAY8,GreenLeaf,0.733835494,8.6243953,lizard,pumilio,CAY,green
CAY2,LeafLitter,2.456500491,0.5366966,lizard,pumilio,CAY,green
CAY3,LeafLitter,1.805027426,2.6059375,lizard,pumilio,CAY,green
CAY4,LeafLitter,1.393540052,7.1489522,lizard,pumilio,CAY,green
CAY6,LeafLitter,1.42323047,7.5456551,lizard,pumilio,CAY,green
CAY7,LeafLitter,2.084626064,6.6114914,lizard,pumilio,CAY,green
CAY8,LeafLitter,2.257962301,7.2280126,lizard,pumilio,CAY,green
CAY2,trunk,2.079522265,1.6421985,lizard,pumilio,CAY,green
CAY3,trunk,1.422885059,1.5004356,lizard,pumilio,CAY,green
CAY4,trunk,1.576357684,6.0434503,lizard,pumilio,CAY,green
CAY6,trunk,1.429893003,6.4401532,lizard,pumilio,CAY,green
CAY7,trunk,2.336860759,5.5059894,lizard,pumilio,CAY,green
CAY8,trunk,1.881007626,6.1225107,lizard,pumilio,CAY,green
POP1,GreenLeaf,8.995220832,11.4091766,bird,pumilio,POP,green
POP3,GreenLeaf,4.080126528,0.2685669,bird,pumilio,POP,green
POP4,GreenLeaf,10.55982273,11.703399,bird,pumilio,POP,green
POP5,GreenLeaf,4.102283467,10.0254653,bird,pumilio,POP,green
POP6,GreenLeaf,2.872029816,2.3977678,bird,pumilio,POP,green
POP7,GreenLeaf,2.59644192,5.7566376,bird,pumilio,POP,green
POP8,GreenLeaf,6.811952604,6.8976697,bird,pumilio,POP,green
POP1,LeafLitter,7.669630555,7.5334461,bird,pumilio,POP,green
POP3,LeafLitter,4.311799233,4.1442974,bird,pumilio,POP,green
POP4,LeafLitter,9.863991733,7.8276685,bird,pumilio,POP,green
POP5,LeafLitter,4.66399595,6.1497348,bird,pumilio,POP,green
POP6,LeafLitter,4.57563726,1.4779627,bird,pumilio,POP,green
